C1,145.08,-32.38,0.00,100nF,EAGLE-LTSPICE_C0402
C10,105.57,-24.40,0.00,4.7uF,EAGLE-LTSPICE_C0402
C11,63.61,-65.76,90.00,1uF/50V,EAGLE-LTSPICE_C0402
C12,65.22,-65.66,90.00,1uF/50V,EAGLE-LTSPICE_C0402
C13,75.00,-62.76,90.00,0.1uF/50V,EAGLE-LTSPICE_C0402
C14,84.63,-63.16,90.00,1uF/50V,EAGLE-LTSPICE_C0402
C15,86.44,-63.16,90.00,1uF/50V,EAGLE-LTSPICE_C0402
C16,82.65,-63.26,90.00,1uF/50V,EAGLE-LTSPICE_C0402
C17,88.36,-63.06,90.00,1uF/50V,EAGLE-LTSPICE_C0402
C18,80.88,-63.28,90.00,1uF/50V,EAGLE-LTSPICE_C0402
C19,78.89,-63.48,90.00,1uF/50V,EAGLE-LTSPICE_C0402
C2,144.97,-34.70,0.00,4.7uF,EAGLE-LTSPICE_C0402
C20,77.00,-63.18,90.00,1uF/50V,EAGLE-LTSPICE_C0402
C21,149.74,-76.18,90.00,100nF,EAGLE-LTSPICE_C0402
C22,152.02,-76.38,90.00,100nF,EAGLE-LTSPICE_C0402
C23,82.50,-35.68,180.00,100nF,EAGLE-LTSPICE_C0402
C24,92.29,-28.56,270.00,CPH3225A,CAPCP3225X100N
C25,48.48,16.42,90.00,100nF,EAGLE-LTSPICE_C0402
C26,63.31,24.90,90.00,1uF,EAGLE-LTSPICE_C0402
C27,48.36,25.11,90.00,100nF,EAGLE-LTSPICE_C0402
C28,23.02,24.90,90.00,100nF,EAGLE-LTSPICE_C0402
C3,124.12,-37.60,90.00,4.7uF,EAGLE-LTSPICE_C0402
C4,119.39,-35.80,270.00,100uF,RCL_CT3528
C5,104.87,-35.30,90.00,4.7uF,EAGLE-LTSPICE_C0402
C6,-0.14,16.22,90.00,100nF,EAGLE-LTSPICE_C0402
C7,91.26,-54.76,270.00,4.7uF/25V,EAGLE-LTSPICE_C0402
C8,77.07,-59.90,0.00,10uF,EAGLE-LTSPICE_C0402
C9,109.82,-24.40,0.00,4.7uF,EAGLE-LTSPICE_C0402
D1,144.48,-28.68,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,35.32,-57.98,90.00,PGB1010603MR,DIOC1608X36N
D11,27.70,-57.98,90.00,PGB1010603MR,DIOC1608X36N
D12,37.88,-33.98,90.00,PGB1010603MR,DIOC1608X36N
D2,108.23,-35.17,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,86.16,-52.58,0.00,MBR0530,SOD3716X135N
D4,77.00,-50.58,0.00,MBR0530,SOD3716X135N
D5,86.02,-56.77,0.00,MBR0530,SOD3716X135N
D6,85.98,-29.87,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D7,67.98,-63.48,0.00,PGB1010603MR,DIOC1608X36N
D8,57.26,-79.48,180.00,PGB1010603MR,DIOC1608X36N
D9,39.24,-57.98,90.00,PGB1010603MR,DIOC1608X36N
IC1,112.39,-34.96,0.00,XC6220A331MR-G,SOT95P280X120-5N
IC2,43.85,16.14,0.00,BD5229G-TR,SOT95P280X125-5N
J1,160.46,-29.24,90.00,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA
J2,2.95,4.33,270.00,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND
J3,160.87,-64.44,90.00,QWIIC_RIGHT_ANGLE,JST04_1MM_RA
J4,81.09,-68.78,0.00,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99
L1,76.97,-55.65,270.00,68uH,IND_4828-WE-TPC_WRE
LED1,113.06,-29.45,0.00,,ADAFRUIT_CHIP-LED0603
Q1,121.60,-30.69,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,57.82,-66.49,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,71.09,-59.54,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
R1,149.81,-26.84,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,109.23,-26.60,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R11,120.19,-21.84,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R12,145.25,-76.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R13,147.57,-76.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R14,85.99,-20.72,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R15,80.41,-19.62,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R16,80.33,-16.62,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R17,54.55,25.38,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R18,39.67,24.98,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R19,14.09,24.98,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,143.34,-38.40,0.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
R26,34.61,-34.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R27,27.73,-62.72,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R28,35.25,-62.72,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R29,39.67,-62.52,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,150.33,-31.94,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R30,62.69,-78.92,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R31,63.51,-70.82,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,108.92,-38.90,0.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,66.25,-49.34,270.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,14.33,-41.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,57.15,-73.82,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,63.97,-59.62,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,66.69,-59.70,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
SJ1,60.42,-49.46,270.00,,SJ
TP1,18.67,4.86,0.00,TPTP20R,TP20R
TP10,22.30,-77.34,0.00,TPTP20R,TP20R
TP11,108.05,-64.04,0.00,TPTP20R,TP20R
TP12,18.95,-8.74,0.00,TPTP20R,TP20R
TP13,28.80,7.06,0.00,TPTP20R,TP20R
TP14,112.85,-20.14,0.00,TPTP20R,TP20R
TP15,82.90,23.26,0.00,TPTP20R,TP20R
TP16,69.25,21.36,0.00,TPTP20R,TP20R
TP17,40.80,-79.04,0.00,TPTP20R,TP20R
TP2,23.79,5.04,0.00,TPTP20R,TP20R
TP3,98.21,-19.16,0.00,TPTP20R,TP20R
TP4,42.53,0.24,0.00,TPTP20R,TP20R
TP5,47.85,1.14,0.00,TPTP20R,TP20R
TP6,18.17,17.64,0.00,TPTP20R,TP20R
TP7,25.79,17.04,0.00,TPTP20R,TP20R
TP8,76.11,22.44,0.00,TPTP20R,TP20R
TP9,113.43,-69.36,0.00,TPTP20R,TP20R
U$1,58.74,25.63,180.00,BUTTON_CUSYOMV1,MYBUTTON
U$2,43.79,25.63,180.00,BUTTON_CUSYOMV1,MYBUTTON
U$3,18.74,25.63,180.00,BUTTON_CUSYOMV1,MYBUTTON
U1,10.60,-28.76,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U2,129.00,-23.28,0.00,MAX17048G+T10,SON50P200X200X80-9N
U3,37.49,-26.24,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U4,116.11,-25.81,90.00,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5
U5,147.96,-69.67,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
U6,78.05,-27.00,270.00,DS3231SN#,SOIC127P1032X265-16N
